st	accession	sp	gn
Rubrobacter_xylanophilus_DSM_9941	GCF_000014185.1	Rubrobacter xylanophilus	Rubrobacter
Rudaea_cellulosilytica_DSM_22992	GCF_000378125.1	Rudaea cellulosilytica	Rudaea
Rudanella_lutea_DSM_19387	GCF_000383955.1	Rudanella lutea	Rudanella
Ruegeria_meonggei	GCF_900172215.1	Ruegeria meonggei	Ruegeria
Rufibacter_tibetensis	GCF_001310085.1	Rufibacter tibetensis	Rufibacter
Rugamonas_rubra	GCF_900114705.1	Rugamonas rubra	Rugamonas
Ruminiclostridium_josui_JCM_17888	GCF_000526495.1	Ruminiclostridium josui	Ruminiclostridium
Ruminobacter_amylophilus	GCF_900115655.1	Ruminobacter amylophilus	Ruminobacter
Ruminococcaceae_bacterium	GCF_900176545.1	Ruminococcaceae bacterium	Ruminococcaceae
Ruminococcus_callidus_ATCC_27760	GCF_000468015.1	Ruminococcus callidus	Ruminococcus
Rummeliibacillus_stabekisii	GCF_001617605.1	Rummeliibacillus stabekisii	Rummeliibacillus
Runella_zeae_DSM_19591	GCF_000423565.1	Runella zeae	Runella
Ruthenibacterium_lactatiformans	GCF_000949455.1	Ruthenibacterium lactatiformans	Ruthenibacterium
Saccharibacillus_sacchari_DSM_19268	GCF_000585395.1	Saccharibacillus sacchari	Saccharibacillus
Saccharibacter_floricola_DSM_15669	GCF_000378165.1	Saccharibacter floricola	Saccharibacter
Saccharicrinis_fermentans_DSM_9555_=_JCM_21142	GCF_000517085.1	Saccharicrinis fermentans	Saccharicrinis
Saccharomonospora_paurometabolica_YIM_90007	GCF_000231035.2	Saccharomonospora paurometabolica	Saccharomonospora
Saccharophagus_degradans_2-40	GCF_000013665.1	Saccharophagus degradans	Saccharophagus
Saccharopolyspora_erythraea_NRRL_2338	GCF_000062885.1	Saccharopolyspora erythraea	Saccharopolyspora
Saccharospirillum_impatiens_DSM_12546	GCF_000423605.1	Saccharospirillum impatiens	Saccharospirillum
Saccharothrix_syringae	GCF_000716755.1	Saccharothrix syringae	Saccharothrix
Sagittula_stellata_E-37	GCF_000169415.1	Sagittula stellata	Sagittula
Salana_multivorans	GCF_003751805.1	Salana multivorans	Salana
Salegentibacter_salegens	GCF_900142975.1	Salegentibacter salegens	Salegentibacter
Salibacterium_qingdaonense	GCF_900114715.1	Salibacterium qingdaonense	Salibacterium
Salimicrobium_jeotgali	GCF_001685435.2	Salimicrobium jeotgali	Salimicrobium
Salinarimonadaceae_bacterium_HL-109	GCF_900094735.1	Salinarimonadaceae bacterium	Salinarimonadaceae
